Student_ID,Class_Grade_ID,Session,Subject,Score
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,English,63.8
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,Maths,40.64
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,Civic Education,97.31
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,ICT,58.58
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,Physics,89.34
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,Chemistry,42.06
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,Technical Drawing,63.31
6132d1c7-183e-4806-9ac8-22b3bc62a582,2,1,Bookkeeping,72.17
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,English,41.26
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,Maths,67.43
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,Civic Education,96.7
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,ICT,45.32
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,Economics,95.67
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,Accounting,72.38
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,Commerce,78.22
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,Marketing,98.59
745b6cf0-6f44-4a35-86d4-2344c65dfa84,1,1,Bookkeeping,53.69
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,English,81.6
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,Maths,49.42
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,Civic Education,97.2
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,ICT,77.81
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,Physics,87.87
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,Chemistry,60.45
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,Technical Drawing,41.85
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,Further Maths,57.32
31d72165-27c3-4a0a-8856-467aa77d738f,3,1,Bookkeeping,90.72
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,English,86.2
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,Maths,63.08
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,Civic Education,64.2
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,ICT,56.36
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,Physics,61.77
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,Chemistry,83.77
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,Technical Drawing,96.37
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,Further Maths,74.76
5be57453-25f6-47b4-9d43-d9459e0b5317,2,1,Bookkeeping,82.53
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,English,84.37
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,Maths,56.54
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,Civic Education,72.36
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,ICT,79.48
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,Literature,51.38
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,Government/History,90.94
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,Religious Studies,89.44
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,"Language (Yoruba, French, Igbo)",85.6
93dd6186-92a3-4b65-bfaa-78cf1b8385f4,1,1,Dyeing and bleaching,60.67
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,English,67.52
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,Maths,47.09
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,Civic Education,54.39
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,ICT,72.01
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,Economics,49.49
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,Accounting,92.08
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,Commerce,99.97
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,Marketing,94.01
9e8a4c47-6fe1-4752-b76e-dc7126668938,2,1,Electrical work,64.47
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,English,64.66
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,Maths,58.96
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,Civic Education,93.17
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,ICT,45.05
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,Physics,80.43
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,Chemistry,92.94
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,Technical Drawing,63.82
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,Further Maths,61.83
a77889ee-4368-4f51-9cac-0e3c145079d2,3,1,Electrical work,64.43
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,English,44.71
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,Maths,71.06
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,Civic Education,65.05
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,ICT,77.41
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,Economics,76.34
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,Accounting,56.45
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,Commerce,62.35
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,Marketing,73.57
7b6c5868-e1be-4956-ade5-6f4d9482348c,3,1,Electrical work,93.19
95f406d9-ffde-426a-be36-21845ab13442,1,1,English,74.82
95f406d9-ffde-426a-be36-21845ab13442,1,1,Maths,60.01
95f406d9-ffde-426a-be36-21845ab13442,1,1,Civic Education,68.65
95f406d9-ffde-426a-be36-21845ab13442,1,1,ICT,41.91
95f406d9-ffde-426a-be36-21845ab13442,1,1,Economics,58.92
95f406d9-ffde-426a-be36-21845ab13442,1,1,Accounting,96.78
95f406d9-ffde-426a-be36-21845ab13442,1,1,Commerce,97.86
95f406d9-ffde-426a-be36-21845ab13442,1,1,Marketing,46.07
95f406d9-ffde-426a-be36-21845ab13442,1,1,Bookkeeping,41.79
eee90ef4-f8d4-4c3c-89f2-8d411854754e,3,1,English,74.27
eee90ef4-f8d4-4c3c-89f2-8d411854754e,3,1,Maths,49.94
