Student_ID,Gender,DOB,Age,Class_Grade_ID,Discipline_ID,State_Of_Origin,Year_Of_Admission,Sports_House,Religion,Disability,Parent_Income_Level,Class_Prefect,Aspiring_Profession,Clubs
425f75b7-b2b9-46cb-8739-d11534860ecb,Female,2010-02-10,14,1,2,Ekiti,2022,Brown House,Christianity,No,Middle Class,No,Entrepreneur,{'Chess Club'}
b5e0adf5-07fb-4593-8b5c-ea49c13db67e,Female,2011-10-08,13,1,1,Osun,2022,Green House,Islam,No,Middle Class,No,Journalist,{'Debating Club'}
378adaa1-84e8-4abe-8d1b-5e1163f559a7,Female,2008-03-21,16,3,2,Osun,2020,Purple House,Christianity,No,Middle Class,No,Auditor,{'Debating Club'}
0f575650-11c0-4f1c-af8e-d44d6c8df27f,Male,2012-09-06,12,2,3,Oyo,2021,Blue House,Islam,No,Middle Class,No,Engineer,{'JETS Club'}
a15b80ab-46ac-4346-9ed2-b939f1732557,Male,2009-08-31,15,3,2,Adamawa,2020,Red House,Islam,No,Low,No,Accountant,{'Press Club'}
c357ddfa-febd-4086-97e5-e4ec7a3852e8,Male,2009-07-18,15,3,3,Oyo,2020,Blue House,Christianity,No,Middle Class,No,Pharmacist,{'Computer Club'}
e97c824d-5631-4344-8c47-287180b7155d,Female,2009-05-19,15,1,3,Osun,2022,Brown House,Christianity,No,Middle Class,No,Computer Scientist,{'JETS Club'}
3a113a52-bc73-4bf7-b473-69674e4f7305,Male,2009-07-12,15,3,3,Cross River,2020,Yellow House,Christianity,No,Middle Class,No,Architect,{'Computer Club'}
cd08b56f-0e62-4f74-b74e-eae4eae63227,Female,2010-06-22,14,3,3,Oyo,2020,Purple House,Christianity,No,Middle Class,No,Food Nutritionist,{'Computer Club'}
7be725d9-eabc-4b44-ac48-5488e4a24559,Female,2011-09-17,13,2,2,Ogun,2021,Yellow House,Islam,No,Middle Class,No,Economist,{'Debating Club'}
73d977a6-d29c-4d56-ad13-03b14a0479fc,Male,2011-03-04,13,1,3,Kano,2022,Purple House,Islam,No,Middle Class,No,Doctor,{'Red Cross'}
37d1c32e-0219-47ba-a840-d969b5ff5e76,Female,2008-11-05,16,3,1,Osun,2020,Yellow House,Christianity,No,Middle Class,No,Brand Specialist,{'Music Club'}
d4b1c7a7-1066-453d-8059-2ad8d0e7b97d,Female,2007-08-27,17,3,1,Lagos,2020,Blue House,Christianity,No,Middle Class,No,Lawyer,{'Debating Club'}
492a734d-5e3b-40e0-a7e5-6676c3d1cbbc,Male,2007-03-16,17,2,1,Abia,2021,Blue House,Christianity,No,Middle Class,No,Writer,{'Drama Club'}
f0615638-54bc-4423-964d-a272de0dc8b0,Female,2007-04-29,17,3,1,Ogun,2020,Red House,Islam,No,Low,No,Fashion Designer,{'Debating Club'}
46563df8-71a9-4522-8261-8a2cea9a0828,Male,2010-05-13,14,2,1,Osun,2021,Brown House,Islam,No,Middle Class,No,Lawyer,{'Music Club'}
e4a8a428-b30f-417e-aff9-21ebb1be0bf7,Male,2008-07-01,16,2,1,Gombe,2021,Yellow House,Islam,No,Low,No,Journalist,{'Press Club'}
c7e71214-925e-4955-ae01-722862538f59,Male,2011-07-31,13,2,2,Lagos,2021,Yellow House,Christianity,No,Middle Class,No,Economist,{'Chess Club'}
478191e1-2f56-40d5-8f5b-5e7f13fe4dbd,Female,2009-03-22,15,3,2,Delta,2020,Yellow House,Islam,No,Middle Class,No,Economist,{'Music Club'}
159aecc5-1bf7-42ec-9681-cc619629e105,Male,2007-04-16,17,2,3,Ogun,2021,Purple House,Christianity,No,Middle Class,No,Scientist,{'Mathematics Club'}
7b65b009-f02a-41dd-941b-fb209fe33c8e,Male,2008-06-26,16,2,1,Kogi,2021,Green House,Christianity,No,Middle Class,No,Artist,{'Debating Club'}
