,Student_ID,Class_Grade_ID,Discipline_ID,Is_School_Prefect,Age,Gender,Nationality,State_Of_Origin,Clubs_Interests,Aspiring_Profession,DOB,Religion,Has_Disability,Date_Of_Admission,Year_Of_Admission
0,1,1,4,No,12,Male,Nigeria,Gombe,"['Computer Club', 'Drama Club', 'Debating Club']",Technologist,2012-10-04,Christian,No,2022-09-01,2022
1,2,1,1,Yes,12,Male,Nigeria,Kwara,['Red Cross'],Artist,2012-10-04,Christian,No,2022-09-01,2022
2,3,1,2,Yes,13,Female,Nigeria,Cross River,"['Debating Club', 'Homemakers Club', 'Red Cross']",Entrepreneur,2011-10-04,Christian,No,2022-09-01,2022
3,4,1,2,Yes,13,Female,Nigeria,FCT - Abuja,"['Mathematics Club', 'Debating Club']",Marketer,2011-10-04,Islam,Yes,2022-09-01,2022
4,5,1,2,No,12,Female,Nigeria,Oyo,"['Debating Club', 'Drama Club']",Economist,2012-10-04,Christian,Yes,2022-09-01,2022
5,6,1,1,Yes,13,Male,Nigeria,Niger,"['Debating Club', 'Drama Club']",Artist,2010-10-04,Islam,No,2022-09-01,2022
6,7,1,1,No,12,Male,Nigeria,Yobe,"['Music Club', 'Mathematics Club']",Artist,2012-10-04,Christian,Yes,2022-09-01,2022
7,8,1,4,Yes,13,Male,Nigeria,Ogun,"['Chess Club', 'Drama Club', 'Red Cross']",Software Developer,2011-10-04,Christian,No,2022-09-01,2022
8,9,1,4,No,13,Male,Nigeria,Edo,['Mathematics Club'],Engineer,2011-10-04,Islam,No,2022-09-01,2022
9,10,1,2,Yes,14,Male,Nigeria,Adamawa,"['Computer Club', 'Chess Club']",Business Executive,2012-10-04,Islam,No,2022-09-01,2022
10,11,1,2,No,12,Female,Nigeria,Kebbi,"['Chess Club', 'Drama Club', 'Red Cross']",Economist,2011-10-04,Christian,No,2022-09-01,2022
11,12,1,3,No,13,Male,Nigeria,Lagos,"['Press Club', 'Debating Club']",Engineer,2011-10-04,Christian,No,2022-09-01,2022
12,13,1,2,No,13,Female,Nigeria,Jigawa,['Press Club'],Entrepreneur,2012-10-04,Islam,No,2022-09-01,2022
13,14,1,1,Yes,12,Male,Nigeria,Borno,"['Debating Club', 'Computer Club', 'Drama Club']",Writer,2010-10-04,Christian,Yes,2022-09-01,2022
14,15,1,4,No,12,Female,Nigeria,Rivers,"['Press Club', 'Debating Club', 'JETS Club']",Technologist,2011-10-04,Christian,Yes,2022-09-01,2022
15,16,1,4,No,13,Male,Nigeria,Osun,"['Music Club', 'Mathematics Club', 'Computer Club']",Technologist,2010-10-04,Islam,Yes,2022-09-01,2022
16,17,1,4,No,12,Male,Nigeria,Oyo,['Chess Club'],Software Developer,2011-10-04,Christian,No,2022-09-01,2022
17,18,1,3,Yes,12,Male,Nigeria,Lagos,['Mathematics Club'],Engineer,2010-10-04,Christian,No,2022-09-01,2022
18,19,1,4,No,14,Female,Nigeria,Lagos,['Debating Club'],Data Scientist,2010-10-04,Christian,Yes,2022-09-01,2022
19,20,1,1,Yes,12,Male,Nigeria,Sokoto,"['Chess Club', 'Debating Club', 'Computer Club']",Fashion Designer,2010-10-04,Christian,No,2022-09-01,2022
20,21,1,2,Yes,12,Male,Nigeria,Ogun,['Music Club'],Business Executive,2011-10-04,Islam,Yes,2022-09-01,2022
21,22,1,3,Yes,14,Male,Nigeria,Oyo,['Mathematics Club'],Doctor,2010-10-04,Christian,Yes,2022-09-01,2022
22,23,1,4,Yes,14,Female,Nigeria,Enugu,['Debating Club'],Technologist,2011-10-04,Islam,Yes,2022-09-01,2022
23,24,1,2,Yes,14,Male,Nigeria,Sokoto,"['Fine Arts', 'JETS Club', 'Drama Club']",Business Executive,2011-10-04,Islam,No,2022-09-01,2022
24,25,1,1,No,12,Male,Nigeria,Oyo,"['Fine Arts', 'Chess Club', 'Drama Club']",Fashion Designer,2012-10-04,Christian,Yes,2022-09-01,2022
25,26,1,3,No,12,Male,Nigeria,Kebbi,"['Debating Club', 'Fine Arts']",Biologist,2012-10-04,Christian,No,2022-09-01,2022
26,27,1,4,No,13,Male,Nigeria,Niger,"['Computer Club', 'Press Club']",Data Scientist,2012-10-04,Christian,No,2022-09-01,2022
