Student_ID,Year_Of_Admission,WASSCE_Year,Subject,Score,Discipline_ID,Discipline,Aspiring_Profession,Gender,Numeric_Score
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,English,C,1,Art,Writer,Female,54.5
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,Mathematics,B,1,Art,Writer,Female,69.5
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,Civic_Education,C,1,Art,Writer,Female,54.5
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,ICT,B,1,Art,Writer,Female,69.5
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,Literature,C,1,Art,Writer,Female,54.5
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,Government_or_History,A,1,Art,Writer,Female,80.0
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,Religious_Studies,B,1,Art,Writer,Female,69.5
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,_Language_Yoruba,C,1,Art,Writer,Female,54.5
86ff68ca-88c1-433e-8e02-2ee2f28476d5,2018,2021,_French_Igbo,B,1,Art,Writer,Female,69.5
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,English,B,2,Commercial,Entrepreneur,Male,69.5
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,Mathematics,A,2,Commercial,Entrepreneur,Male,80.0
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,Civic_Education,A,2,Commercial,Entrepreneur,Male,80.0
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,ICT,B,2,Commercial,Entrepreneur,Male,69.5
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,Bookkeeping,C,2,Commercial,Entrepreneur,Male,54.5
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,Economics,F,2,Commercial,Entrepreneur,Male,14.5
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,Accounting,D,2,Commercial,Entrepreneur,Male,44.5
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,Commerce,C,2,Commercial,Entrepreneur,Male,54.5
8212a84c-bd64-41a7-9666-39e1fe7e2660,2018,2021,Marketing,F,2,Commercial,Entrepreneur,Male,14.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,English,D,2,Commercial,Economist,Male,44.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,Mathematics,B,2,Commercial,Economist,Male,69.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,Civic_Education,C,2,Commercial,Economist,Male,54.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,ICT,C,2,Commercial,Economist,Male,54.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,Bookkeeping,C,2,Commercial,Economist,Male,54.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,Economics,E,2,Commercial,Economist,Male,34.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,Accounting,D,2,Commercial,Economist,Male,44.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,Commerce,C,2,Commercial,Economist,Male,54.5
5037d342-53b0-487e-969e-145076f49386,2018,2021,Marketing,A,2,Commercial,Economist,Male,80.0
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,English,E,3,Science,Food Nutritionist,Female,34.5
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,Mathematics,C,3,Science,Food Nutritionist,Female,54.5
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,Civic_Education,A,3,Science,Food Nutritionist,Female,80.0
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,ICT,D,3,Science,Food Nutritionist,Female,44.5
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,_French_Igbo,B,3,Science,Food Nutritionist,Female,69.5
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,Dyeing_and_bleaching,C,3,Science,Food Nutritionist,Female,54.5
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,Physics,C,3,Science,Food Nutritionist,Female,54.5
00ceff36-18df-4cc5-bed4-3b144a3ea197,2018,2021,Chemistry,C,3,Science,Food Nutritionist,Female,54.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,English,F,3,Science,Biologist,Male,14.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,Mathematics,D,3,Science,Biologist,Male,44.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,Civic_Education,B,3,Science,Biologist,Male,69.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,ICT,D,3,Science,Biologist,Male,44.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,Marketing,D,3,Science,Biologist,Male,44.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,Dyeing_and_bleaching,B,3,Science,Biologist,Male,69.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,Physics,C,3,Science,Biologist,Male,54.5
c6aef2d3-74fb-4b5d-9949-7629511416a7,2018,2021,Food_Nutrition,C,3,Science,Biologist,Male,54.5
17702cf9-6c2f-40a9-93b9-f7fa5a6b1702,2018,2021,English,E,3,Science,Doctor,Female,34.5
17702cf9-6c2f-40a9-93b9-f7fa5a6b1702,2018,2021,Mathematics,E,3,Science,Doctor,Female,34.5
